GAME_ID,GAME_DATE,SEASON,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_eFG_PCT_sAvg,HOME_TOV_PCT_sAvg,HOME_OREB_PCT_sAvg,HOME_FT_RATE_sAvg,HOME_ORtg_sAvg,HOME_DRtg_sAvg,HOME_PACE,AWAY_eFG_PCT_sAvg,AWAY_TOV_PCT_sAvg,AWAY_OREB_PCT_sAvg,AWAY_FT_RATE_sAvg,AWAY_ORtg_sAvg,AWAY_DRtg_sAvg,AWAY_PACE,target_mu,target_sigma,TOTAL_SCORE,HOME_SCORE,AWAY_SCORE,GAME_PACE,PACE_DIFFERENTIAL,HOME_OFF_vs_AWAY_DEF,AWAY_OFF_vs_HOME_DEF,TOTAL_EXPECTED_SCORING,AVG_PACE,LgAvg_ORtg_season
21900029,2019-10-26,2019,1610612752,OPP_1610612752,0.4207317073170731,0.23,0.2909090909090909,0.4146341463414634,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,205,11.9797541628931,205,95,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900028,2019-10-26,2019,1610612737,OPP_1610612737,0.5654761904761905,0.18,0.173076923076923,0.1785714285714285,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,213,10.41343360656615,213,103,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900026,2019-10-26,2019,1610612749,OPP_1610612749,0.526595744680851,0.18,0.1063829787234042,0.3723404255319149,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,236,13.233817368154783,236,126,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900038,2019-10-27,2019,1610612742,OPP_1610612742,0.4627659574468085,0.11,0.2608695652173913,0.4361702127659574,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,229,10.168734525043467,229,119,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900037,2019-10-27,2019,1610612763,OPP_1610612763,0.5533980582524272,0.12,0.1632653061224489,0.2427184466019417,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,244,12.313295392507133,244,134,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900040,2019-10-27,2019,1610612747,OPP_1610612747,0.5860215053763441,0.13,0.2127659574468085,0.1505376344086021,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,230,9.060494814180338,230,120,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900039,2019-10-27,2019,1610612750,OPP_1610612750,0.5,0.16,0.3043478260869565,0.3626373626373626,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,226,10.007720926652354,226,116,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900036,2019-10-27,2019,1610612760,OPP_1610612760,0.6602564102564102,0.23,0.16,0.282051282051282,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,230,12.295291853803686,230,120,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900046,2019-10-28,2019,1610612749,OPP_1610612749,0.6141304347826086,0.12,0.16,0.2608695652173913,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,239,13.107699869993116,239,129,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900049,2019-10-28,2019,1610612756,OPP_1610612756,0.49375,0.16,0.075,0.2875,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,205,12.257052421784955,205,95,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900048,2019-10-28,2019,1610612759,OPP_1610612759,0.5235294117647059,0.18,0.14,0.3764705882352941,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,223,11.82652757641764,223,113,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900050,2019-10-28,2019,1610612758,OPP_1610612758,0.4615384615384615,0.12,0.3125,0.1758241758241758,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,204,11.548344456616066,204,94,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900051,2019-10-28,2019,1610612746,OPP_1610612746,0.5542168674698795,0.21,0.2045454545454545,0.253012048192771,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,221,9.78221701444886,221,111,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900045,2019-10-28,2019,1610612745,OPP_1610612745,0.4888888888888889,0.14,0.225,0.3666666666666666,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,226,10.920233687407936,226,116,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900043,2019-10-28,2019,1610612737,OPP_1610612737,0.4821428571428571,0.21,0.1777777777777777,0.3809523809523809,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,213,11.309041843560319,213,103,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900041,2019-10-28,2019,1610612765,OPP_1610612765,0.5370370370370371,0.2,0.1875,0.1234567901234567,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,206,13.585683339328373,206,96,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900044,2019-10-28,2019,1610612761,OPP_1610612761,0.4470588235294118,0.16,0.1153846153846153,0.3529411764705882,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,214,12.515427434352691,214,104,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900047,2019-10-28,2019,1610612740,OPP_1610612740,0.5388349514563107,0.15,0.2682926829268293,0.2135922330097087,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,233,9.3554397669559,233,123,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900042,2019-10-28,2019,1610612752,OPP_1610612752,0.467032967032967,0.17,0.3968253968253968,0.3516483516483517,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,215,12.486125954092193,215,105,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900053,2019-10-29,2019,1610612743,OPP_1610612743,0.532967032967033,0.1,0.28,0.1428571428571428,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,216,11.422376579375525,216,106,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900052,2019-10-29,2019,1610612748,OPP_1610612748,0.541095890410959,0.26,0.2653061224489796,0.6164383561643836,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,222,10.984616999541062,222,112,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900054,2019-10-29,2019,1610612747,OPP_1610612747,0.5058139534883721,0.18,0.1851851851851851,0.4534883720930232,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,230,12.917514433261301,230,120,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900056,2019-10-30,2019,1610612753,OPP_1610612753,0.4886363636363636,0.07,0.2692307692307692,0.1363636363636363,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,205,13.546499283743927,205,95,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900061,2019-10-30,2019,1610612764,OPP_1610612764,0.7362637362637363,0.19,0.275,0.3186813186813186,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,268,13.396920178674298,268,158,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900057,2019-10-30,2019,1610612755,OPP_1610612755,0.5163043478260869,0.22,0.2857142857142857,0.3043478260869565,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,227,10.741173715166042,227,117,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900063,2019-10-30,2019,1610612762,OPP_1610612762,0.61875,0.14,0.0833333333333333,0.2,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,220,11.536181436223178,220,110,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900062,2019-10-30,2019,1610612760,OPP_1610612760,0.4166666666666667,0.18,0.2363636363636363,0.4404761904761904,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,209,12.496895147105345,209,99,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900065,2019-10-30,2019,1610612744,OPP_1610612744,0.4878048780487805,0.18,0.1627906976744186,0.4390243902439024,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,220,13.463317690683539,220,110,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900064,2019-10-30,2019,1610612758,OPP_1610612758,0.53125,0.15,0.2564102564102564,0.125,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,221,11.281238643232065,221,111,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900059,2019-10-30,2019,1610612751,OPP_1610612751,0.4946236559139785,0.19,0.3333333333333333,0.2795698924731182,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,218,11.721511535004275,218,108,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900055,2019-10-30,2019,1610612739,OPP_1610612739,0.5897435897435898,0.17,0.2127659574468085,0.3974358974358974,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,227,10.340497538990958,227,117,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900060,2019-10-30,2019,1610612761,OPP_1610612761,0.6686046511627907,0.14,0.088235294117647,0.1395348837209302,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,235,10.205690063878993,235,125,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900058,2019-10-30,2019,1610612738,OPP_1610612738,0.5380434782608695,0.09,0.1111111111111111,0.2282608695652173,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,226,13.218788733591296,226,116,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900066,2019-10-31,2019,1610612737,OPP_1610612737,0.4488636363636363,0.16,0.32,0.2954545454545454,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,207,14.034360042856235,207,97,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900068,2019-10-31,2019,1610612746,OPP_1610612746,0.456043956043956,0.11,0.2340425531914893,0.2967032967032967,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,213,11.891984817629499,213,103,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900067,2019-10-31,2019,1610612740,OPP_1610612740,0.6298701298701299,0.15,0.054054054054054,0.4155844155844156,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,232,13.505299346838036,232,122,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900075,2019-11-01,2019,1610612758,OPP_1610612758,0.5357142857142857,0.16,0.2894736842105263,0.2023809523809523,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,212,12.542454037571451,212,102,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900072,2019-11-01,2019,1610612738,OPP_1610612738,0.5202702702702703,0.14,0.0681818181818181,0.3918918918918919,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,214,11.032320368092314,214,104,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900070,2019-11-01,2019,1610612754,OPP_1610612754,0.4322916666666667,0.13,0.2241379310344827,0.21875,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,212,12.542093408262621,212,102,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900071,2019-11-01,2019,1610612753,OPP_1610612753,0.4395604395604395,0.16,0.25,0.1868131868131868,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,201,14.307054849698954,201,91,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900074,2019-11-01,2019,1610612742,OPP_1610612742,0.4607843137254901,0.22,0.2950819672131147,0.2254901960784313,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,220,11.946260941335073,220,110,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900076,2019-11-01,2019,1610612744,OPP_1610612744,0.5416666666666666,0.11,0.1794871794871795,0.25,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,220,14.346965483721009,220,110,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900073,2019-11-01,2019,1610612741,OPP_1610612741,0.5280898876404494,0.17,0.2619047619047619,0.2584269662921348,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,222,8.070382343865383,222,112,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900069,2019-11-01,2019,1610612751,OPP_1610612751,0.6058823529411764,0.2,0.1818181818181818,0.3294117647058823,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,233,13.232853756562836,233,123,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900080,2019-11-02,2019,1610612764,OPP_1610612764,0.4526315789473684,0.17,0.2051282051282051,0.2842105263157894,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,219,12.130570602357256,219,109,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900083,2019-11-02,2019,1610612744,OPP_1610612744,0.5,0.18,0.125,0.1688311688311688,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,197,11.551488974301199,197,87,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900077,2019-11-02,2019,1610612760,OPP_1610612760,0.5388888888888889,0.12,0.1818181818181818,0.2555555555555555,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,225,12.137641164803254,225,115,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900084,2019-11-02,2019,1610612757,OPP_1610612757,0.6987179487179487,0.18,0.1111111111111111,0.3205128205128205,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,238,9.018646628098661,238,128,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900081,2019-11-02,2019,1610612763,OPP_1610612763,0.5406976744186046,0.2,0.2826086956521739,0.2209302325581395,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,215,11.670492168243731,215,105,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900079,2019-11-02,2019,1610612753,OPP_1610612753,0.4651162790697674,0.15,0.2127659574468085,0.127906976744186,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,197,12.53566885726762,197,87,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
21900078,2019-11-02,2019,1610612765,OPP_1610612765,0.4945054945054945,0.08,0.1219512195121951,0.3186813186813186,110.0,110.0,100.0,0.53,0.14,0.25,0.24,110.0,110.0,100.0,223,14.216841067112274,223,113,110,100.0,0.0,0.0,0.0,0.0,100.0,110.0
